Team,Week,Rank,W,L,Winning Percentage,Opp. Rank,Opp. P5,Home,Result,Points Scored,Points Against,Margin,Next Week Rank,Movement
Alabama,1,1,0,0,1,14,1,0,W,44,13,31,1,0
Oklahoma,1,2,0,0,1,26,0,1,W,40,35,5,4,-2
Clemson,1,3,0,0,1,5,1,0,L,3,10,-7,6,-3
Ohio State,1,4,0,0,1,26,1,0,W,45,31,14,3,1
Georgia,1,5,0,0,1,3,1,0,W,10,3,7,2,3
Texas A&M,1,6,0,0,1,26,0,1,W,41,10,31,5,1
Iowa State,1,7,0,0,1,26,0,1,W,16,10,6,9,-2
Cincinnati,1,8,0,0,1,26,0,1,W,49,14,35,7,1
Notre Dame,1,9,0,0,1,26,1,0,W,41,38,3,8,1
North Carolina,1,10,0,0,1,26,1,0,L,10,17,-7,24,-14
Oregon,1,11,0,0,1,26,1,1,W,31,24,7,12,-1
Wisconsin,1,12,0,0,1,19,1,1,L,10,16,-6,18,-6
Florida,1,13,0,0,1,26,0,1,W,35,14,21,13,0
Miami (FL),1,14,0,0,1,1,1,0,L,13,44,-31,22,-8
USC,1,15,0,0,1,26,0,1,W,30,7,23,14,1
LSU,1,16,0,0,1,26,1,0,L,27,38,-11,26,-10
Indiana,1,17,0,0,1,18,1,0,L,6,34,-28,26,-9
Iowa,1,18,0,0,1,17,1,1,W,34,6,28,10,8
Penn State,1,19,0,0,1,12,1,0,W,16,10,6,11,8
Washington,1,20,0,0,1,26,0,1,L,7,13,-6,26,-6
Texas,1,21,0,0,1,23,0,1,W,38,18,20,15,6
Coastal Carolina,1,22,0,0,1,26,0,1,W,52,14,38,17,5
Louisiana-Lafayette,1,23,0,0,1,21,1,0,L,18,38,-20,26,-3
Utah,1,24,0,0,1,26,0,1,W,40,17,23,21,3
Arizona State,1,25,0,0,1,26,0,1,W,41,14,27,23,2
Alabama,2,1,1,0,1,26,0,1,W,48,14,34,1,0
Georgia,2,2,1,0,1,26,0,1,W,56,7,49,2,0
Ohio State,2,3,1,0,1,12,1,1,L,28,35,-7,9,-6
Oklahoma,2,4,1,0,1,26,0,1,W,76,0,76,3,1
Texas A&M,2,5,1,0,1,26,1,0,W,10,7,3,7,-2
Clemson,2,6,0,1,0,26,0,1,W,49,3,46,6,0
Cincinnati,2,7,1,0,1,26,0,1,W,42,7,35,8,-1
Notre Dame,2,8,1,0,1,26,0,1,W,32,29,3,12,-4
Iowa State,2,9,1,0,1,10,1,1,L,17,27,-10,14,-5
Iowa,2,10,1,0,1,9,1,0,W,27,17,10,5,5
Penn State,2,11,1,0,1,26,0,1,W,44,13,31,10,1
Oregon,2,12,1,0,1,3,1,0,W,35,28,7,4,8
Florida,2,13,1,0,1,26,0,0,W,42,20,22,11,2
USC,2,14,1,0,1,26,1,1,L,28,42,-14,26,-12
Texas,2,15,1,0,1,26,1,0,L,21,40,-19,26,-11
UCLA,2,16,2,0,1,,,,,,,,13,3
Coastal Carolina,2,17,1,0,1,26,1,1,W,49,22,27,16,1
Wisconsin,2,18,0,1,0,26,0,1,W,34,7,27,18,0
Virginia Tech,2,19,1,0,1,26,0,1,W,35,14,21,15,4
Ole Miss,2,20,1,0,1,26,0,1,W,54,17,37,17,3
Utah,2,21,1,0,1,26,0,0,L,17,26,-9,26,-5
Miami (FL),2,22,0,1,0,26,0,1,W,25,23,2,24,-2
Arizona State,2,23,1,0,1,26,0,1,W,37,10,27,19,4
North Carolina,2,24,0,1,0,26,0,1,W,59,17,42,21,3
Auburn,2,25,1,0,1,26,0,1,W,62,0,62,22,3
Alabama,3,1,2,0,1,11,1,0,W,31,29,2,1,0
Georgia,3,2,2,0,1,26,1,1,W,40,13,27,2,0
Oklahoma,3,3,2,0,1,26,1,1,W,23,16,7,4,-1
Oregon,3,4,2,0,1,26,0,1,W,48,7,41,3,1
Iowa,3,5,2,0,1,26,0,1,W,30,7,23,5,0
Clemson,3,6,1,1,0.5,26,1,1,W,14,8,6,9,-3
Texas A&M,3,7,2,0,1,26,0,1,W,34,0,34,7,0
Cincinnati,3,8,2,0,1,26,1,0,W,38,24,14,8,0
Ohio State,3,9,1,1,0.5,26,0,1,W,41,20,21,10,-1
Penn State,3,10,2,0,1,22,1,1,W,28,20,8,6,4
Florida,3,11,2,0,1,1,1,1,L,29,31,-2,11,0
Notre Dame,3,12,2,0,1,26,1,1,W,27,13,14,12,0
UCLA,3,13,2,0,1,26,0,1,L,37,40,-3,24,-11
Iowa State,3,14,1,1,0.5,26,0,0,W,48,3,45,14,0
Virginia Tech,3,15,2,0,1,26,1,0,L,21,27,-6,26,-11
Coastal Carolina,3,16,2,0,1,26,0,0,W,28,25,3,17,-1
Ole Miss,3,17,2,0,1,26,0,0,W,61,21,40,13,4
Wisconsin,3,18,1,1,0.5,,,,,,,,18,0
Arizona State,3,19,2,0,1,23,0,0,L,17,27,-10,26,-7
Arkansas,3,20,2,0,1,26,0,1,W,45,10,35,16,4
North Carolina,3,21,1,1,0.5,26,1,1,W,59,39,20,21,0
Auburn,3,22,2,0,1,10,1,0,L,20,28,-8,23,-1
BYU,3,23,2,0,1,19,1,1,W,27,17,10,15,8
Miami (FL),3,24,1,1,0.5,26,1,1,L,17,38,-21,26,-2
Michigan,3,25,2,0,1,26,0,1,W,63,10,53,19,6
Alabama,4,1,3,0,1,26,0,1,W,63,14,49,1,0
Georgia,4,2,3,0,1,26,1,0,W,62,0,62,2,0
Oregon,4,3,3,0,1,26,1,1,W,41,19,22,3,0
Oklahoma,4,4,3,0,1,26,1,1,W,16,13,3,6,-2
Iowa,4,5,3,0,1,26,0,1,W,24,14,10,5,0
Penn State,4,6,3,0,1,26,0,1,W,38,17,21,4,2
Texas A&M,4,7,3,0,1,16,1,0,L,10,20,-10,15,-8
Cincinnati,4,8,3,0,1,,,,,,,,7,1
Clemson,4,9,2,1,0.6666666666666666,26,1,0,L,21,27,-6,25,-16
Ohio State,4,10,2,1,0.6666666666666666,26,0,1,W,59,7,52,11,-1
Florida,4,11,2,1,0.6666666666666666,26,1,1,W,38,14,24,10,1
Notre Dame,4,12,3,0,1,18,1,0,W,41,13,28,9,3
Ole Miss,4,13,3,0,1,,,,,,,0,12,1
Iowa State,4,14,2,1,0.6666666666666666,26,1,0,L,29,31,-2,26,-12
BYU,4,15,3,0,1,26,0,1,W,35,27,8,13,2
Arkansas,4,16,3,0,1,7,1,0,W,20,10,10,8,8
Coastal Carolina,4,17,3,0,1,26,0,1,W,53,3,50,16,1
Wisconsin,4,18,1,1,0.5,12,1,0,L,13,41,-28,26,-8
Michigan,4,19,3,0,1,26,1,1,W,20,13,7,14,5
Michigan State,4,20,3,0,1,26,1,1,W,23,20,3,17,3
North Carolina,4,21,2,1,0.6666666666666666,26,1,0,L,22,45,-23,26,-5
Fresno State,4,22,3,1,0.75,26,0,1,W,38,30,8,18,4
Auburn,4,23,2,1,0.6666666666666666,26,0,1,W,34,24,10,22,1
UCLA,4,24,2,1,0.6666666666666666,26,1,0,W,35,24,11,20,4
Kansas State,4,25,3,0,1,26,1,0,L,31,20,11,26,-1
Alabama,5,1,4,0,1,12,1,1,W,42,21,21,1,0
Georgia,5,2,4,0,1,8,1,1,W,37,0,37,2,0
Oregon,5,3,4,0,1,26,1,0,L,24,31,-7,8,-5
Penn State,5,4,4,0,1,26,1,1,W,24,0,24,4,0
Iowa,5,5,4,0,1,26,1,0,W,51,14,37,3,2
Oklahoma,5,6,4,0,1,26,1,0,W,37,31,6,6,0
Cincinnati,5,7,3,0,1,9,1,0,W,24,13,11,5,2
Arkansas,5,8,4,0,1,2,1,0,L,0,37,-37,13,-5
Notre Dame,5,9,4,0,1,7,0,1,L,13,24,-11,14,-5
