Team,Week,Rank,W,L,Winning Percentage,Opp. Rank,Opp. P5,Home,Result,Points Scored,Points Against,Margin,Next Week Rank,Movement
Florida,5,10,3,1,0.75,26,1,0,L,13,20,-7,20,-10
Ohio State,5,11,3,1,0.75,26,1,0,W,52,13,39,7,4
Ole Miss,5,12,3,0,1,1,1,0,L,21,42,-21,17,-5
BYU,5,13,4,0,1,26,0,0,W,34,20,14,10,3
Michigan,5,14,4,0,1,26,1,0,W,38,17,21,9,5
Texas A&M,5,15,3,1,0.75,26,1,1,L,22,26,-4,26,-11
Coastal Carolina,5,16,4,0,1,26,0,1,W,59,6,53,15,1
Michigan State,5,17,4,0,1,26,0,1,W,48,31,17,11,6
Fresno State,5,18,4,1,0.8,26,0,0,L,24,27,-3,26,-8
Oklahoma State,5,19,4,0,1,21,1,1,W,17,14,3,12,7
UCLA,5,20,3,1,0.75,26,1,1,L,23,42,-19,26,-6
Baylor,5,21,4,0,1,19,1,0,L,14,17,-3,26,-5
Auburn,5,22,3,1,0.75,26,1,0,W,24,19,5,18,4
NC State,5,23,3,1,0.75,26,0,1,W,34,27,7,23,0
Wake Forest,5,24,4,0,1,26,1,1,W,37,34,3,19,5
Clemson,5,25,2,2,0.5,26,1,1,W,19,13,6,26,-1
Alabama,6,1,5,0,1,,,,,,,,,
Georgia,6,2,5,0,1,,,,,,,,,
Iowa,6,3,5,0,1,,,,,,,,,
Penn State,6,4,5,0,1,,,,,,,,,
Cincinnati,6,5,4,0,1,,,,,,,,,
Oklahoma,6,6,5,0,1,,,,,,,,,
Ohio State,6,7,4,1,0.8,,,,,,,,,
Oregon,6,8,4,1,0.8,,,,,,,,,
Michigan,6,9,5,0,1,,,,,,,,,
BYU,6,10,5,0,1,,,,,,,,,
Michigan State,6,11,5,0,1,,,,,,,,,
Oklahoma State,6,12,5,0,1,,,,,,,,,
Arkansas,6,13,4,1,0.8,,,,,,,,,
Notre Dame,6,14,4,1,0.8,,,,,,,,,
Coastal Carolina,6,15,5,0,1,,,,,,,,,
Kentucky,6,16,5,0,1,,,,,,,,,
Ole Miss,6,17,3,1,0.75,,,,,,,,,
Auburn,6,18,4,4,0.5,,,,,,,,,
Wake Forest,6,19,5,0,1,,,,,,,,,
Florida,6,20,3,2,0.6,,,,,,,,,
Texas,6,21,4,1,0.8,,,,,,,,,
Arizona State,6,22,4,1,0.8,,,,,,,,,
NC State,6,23,4,1,0.8,,,,,,,,,
SMU,6,24,5,0,1,,,,,,,,,
San Diego State,6,25,4,0,1,,,,,,,,,
Clemson,6,26,,,,,,,,,,,,
Texas A&M,6,26,,,,,,,,,,,,
Iowa State,5,26,,,,,,,,,,,,
Iowa State,6,26,,,,,,,,,,,,
North Carolina,5,26,,,,,,,,,,,,
North Carolina,6,26,,,,,,,,,,,,
Wisconsin,5,26,,,,,,,,,,,,
Wisconsin,6,26,,,,,,,,,,,,
Miami (FL),4,26,,,,,,,,,,,,
Miami (FL),5,26,,,,,,,,,,,,
Miami (FL),6,26,,,,,,,,,,,,
USC,3,26,,,,,,,,,,,,
USC,4,26,,,,,,,,,,,,
USC,5,26,,,,,,,,,,,,
USC,6,26,,,,,,,,,,,,
LSU,2,26,,,,,,,,,,,,
LSU,3,26,,,,,,,,,,,,
LSU,4,26,,,,,,,,,,,,
LSU,5,26,,,,,,,,,,,,
LSU,6,26,,,,,,,,,,,,
Indiana,2,26,,,,,,,,,,,,
Indiana,3,26,,,,,,,,,,,,
Indiana,4,26,,,,,,,,,,,,
Indiana,5,26,,,,,,,,,,,,
Indiana,6,26,,,,,,,,,,,,
Washington,2,26,,,,,,,,,,,,
Washington,3,26,,,,,,,,,,,,
Washington,4,26,,,,,,,,,,,,
Washington,5,26,,,,,,,,,,,,
Washington,6,26,,,,,,,,,,,,
Texas,3,26,,,,,,,,,,,,
Texas,4,26,,,,,,,,,,,,
Texas,5,26,,,,,,,,,,,,
Louisiana-Lafayette,2,26,,,,,,,,,,,,
Louisiana-Lafayette,3,26,,,,,,,,,,,,
Louisiana-Lafayette,4,26,,,,,,,,,,,,
Louisiana-Lafayette,5,26,,,,,,,,,,,,
Louisiana-Lafayette,6,26,,,,,,,,,,,,
Utah,3,26,,,,,,,,,,,,
Utah,4,26,,,,,,,,,,,,
Utah,5,26,,,,,,,,,,,,
Utah,6,26,,,,,,,,,,,,
Arizona State,4,26,,,,,,,,,,,,
Arizona State,5,26,,,,,,,,,,,,
UCLA,1,26,,,,,,,,,,,,
UCLA,6,26,,,,,,,,,,,,
Virginia Tech,1,26,,,,,,,,,,,,
Virginia Tech,4,26,,,,,,,,,,,,
Virginia Tech,5,26,,,,,,,,,,,,
Virginia Tech,6,26,,,,,,,,,,,,
Ole Miss,1,26,,,,,,,,,,,,
Auburn,1,26,,,,,,,,,,,,
Arkansas,1,26,,,,,,,,,,,,
Arkansas,2,26,,,,,,,,,,,,
BYU,1,26,,,,,,,,,,,,
BYU,2,26,,,,,,,,,,,,
Michigan,1,26,,,,,,,,,,,,
Michigan,2,26,,,,,,,,,,,,
Michigan State,1,26,,,,,,,,,,,,
Michigan State,2,26,,,,,,,,,,,,
Michigan State,3,26,,,,,,,,,,,,
Fresno State,1,26,,,,,,,,,,,,
Fresno State,2,26,,,,,,,,,,,,
Fresno State,3,26,,,,,,,,,,,,
Fresno State,6,26,,,,,,,,,,,,
Kansas State,1,26,,,,,,,,,,,,
Kansas State,2,26,,,,,,,,,,,,
Kansas State,3,26,,,,,,,,,,,,
Kansas State,5,26,,,,,,,,,,,,
Kansas State,6,26,,,,,,,,,,,,
Oklahoma State,1,26,,,,,,,,,,,,
Oklahoma State,2,26,,,,,,,,,,,,
Oklahoma State,3,26,,,,,,,,,,,,
Oklahoma State,4,26,,,,,,,,,,,,
Baylor,1,26,,,,,,,,,,,,
Baylor,2,26,,,,,,,,,,,,
Baylor,3,26,,,,,,,,,,,,
Baylor,4,26,,,,,,,,,,,,
Baylor,6,26,,,,,,,,,,,,
NC State,1,26,,,,,,,,,,,,
NC State,2,26,,,,,,,,,,,,
NC State,3,26,,,,,,,,,,,,
NC State,4,26,,,,,,,,,,,,
Wake Forest,1,26,,,,,,,,,,,,
Wake Forest,2,26,,,,,,,,,,,,
Wake Forest,3,26,,,,,,,,,,,,
Wake Forest,4,26,,,,,,,,,,,,
Kentucky,1,26,,,,,,,,,,,,
Kentucky,2,26,,,,,,,,,,,,
Kentucky,3,26,,,,,,,,,,,,
Kentucky,4,26,,,,,,,,,,,,
Kentucky,5,26,,,,,,,,,,,,
SMU,1,26,,,,,,,,,,,,
SMU,2,26,,,,,,,,,,,,
SMU,3,26,,,,,,,,,,,,
SMU,4,26,,,,,,,,,,,,
SMU,5,26,,,,,,,,,,,,
San Diego State,1,26,,,,,,,,,,,,
San Diego State,2,26,,,,,,,,,,,,
San Diego State,3,26,,,,,,,,,,,,
San Diego State,4,26,,,,,,,,,,,,
San Diego State,5,26,,,,,,,,,,,,
